word,count
흘려,49
Hello,49
무대,49
다만,48
끝에서,48
스쳐가는,48
end,48
same,48
뭐든지,48
태양이,48
만나러,48
숨쉬는,48
왔다,48
없었죠,48
오로지,48
되돌릴,48
잠시라도,48
하룰,48
big,48
무거운,48
모습만,48
랄랄랄랄라,48
바람처럼,48
헤어지잔,48
한동안,48
싶던,48
진정,48
행복해요,48
지는,48
답답한,48
비,48
올라,48
이순간,48
가을,48
참지,48
귀여운,48
hi,48
곁엔,48
술을,48
질러,48
뜨거뜨거,48
천사,48
It’s,48
좋아해,48
훗날,47
숨쉬고,47
이해해,47
말했어,47
돌아선,47
I've,47
last,47
바랬어,47
막,47
주지,47
손으로,47
살아가고,47
사랑인걸,47
한다,47
미안하다,47
모른척,47
태어나,47
슬픔에,47
말하던,47
자존심,47
만나게,47
보지마,47
입을,47
무엇보다,47
후회하고,47
랄라,47
담긴,47
꾸는,47
눈부시게,47
거리,47
설레는,47
세,47
지쳐서,47
상관,47
날처럼,47
예쁘게,47
익숙한,47
떨려,47
놓치지,47
새겨진,47
소리가,47
소리쳐봐,47
worry,47
melody,47
웃어줘,47
Sing,47
pretty,47
clap,47
*,47
Cristmas,47
가는데,46
four,46
발걸음,46
했는지,46
담고,46
태어난,46
